Company,Fuel_Type,CC,HP,Speed,Acceleration,Price,Torque,Seats,Price_Log,Torque_Log,CC_Scaled,HP_Scaled,Speed_Scaled,Acceleration_Scaled
ROLLS ROYCE,Petrol,6592.0,624.0,250.0,4.4,330000.0,870.0,4.0,12.706850963741102,6.769641976852503,1.992164360836072,1.4219187525138337,0.6328166540087526,-0.9605294284463736
ROLLS ROYCE,Petrol,6592.0,624.0,250.0,4.9,360000.0,870.0,4.0,12.793862088206213,6.769641976852503,1.992164360836072,1.4219187525138337,0.6328166540087526,-0.8091420298827463
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.2,325000.0,850.0,5.0,12.691583538230217,6.7464121285733745,2.074684835773539,1.147904169952935,0.6328166540087526,-0.7183095907445699
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.3,500000.0,900.0,5.0,13.122365377402328,6.803505257608338,2.074684835773539,1.147904169952935,0.6328166540087526,-0.6880321110318445
ROLLS ROYCE,Petrol,6592.0,591.0,250.0,4.8,370000.0,850.0,5.0,12.821260987319457,6.7464121285733745,1.992164360836072,1.2736813553907245,0.6328166540087526,-0.8394195095954718
ROLLS ROYCE,Petrol,6592.0,624.0,250.0,4.3,360000.0,870.0,4.0,12.793862088206213,6.769641976852503,1.992164360836072,1.4219187525138337,0.6328166540087526,-0.9908069081590992
ROLLS ROYCE,Petrol,6592.0,624.0,250.0,4.8,390000.0,870.0,4.0,12.873904582205107,6.769641976852503,1.992164360836072,1.4219187525138337,0.6328166540087526,-0.8394195095954718
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.1,350000.0,850.0,5.0,12.765691290604371,6.7464121285733745,2.074684835773539,1.147904169952935,0.6328166540087526,-0.7485870704572956
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.3,450000.0,870.0,4.0,13.017005083966255,6.769641976852503,2.074684835773539,1.147904169952935,0.6328166540087526,-0.6880321110318445
ROLLS ROYCE,Petrol,6592.0,591.0,250.0,4.8,340000.0,850.0,4.0,12.73670383776449,6.7464121285733745,1.992164360836072,1.2736813553907245,0.6328166540087526,-0.8394195095954718
ROLLS ROYCE,Petrol,6592.0,624.0,250.0,4.4,330000.0,870.0,4.0,12.706850963741102,6.769641976852503,1.992164360836072,1.4219187525138337,0.6328166540087526,-0.9605294284463736
ROLLS ROYCE,Petrol,6592.0,624.0,250.0,4.9,380000.0,870.0,4.0,12.847929163278053,6.769641976852503,1.992164360836072,1.4219187525138337,0.6328166540087526,-0.8091420298827463
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.2,320000.0,850.0,5.0,12.676079399771027,6.7464121285733745,2.074684835773539,1.147904169952935,0.6328166540087526,-0.7183095907445699
MERCEDES,Petrol,3982.0,496.0,250.0,4.4,116000.0,700.0,5.0,11.661354090741,6.55250788703459,0.6203271660157637,0.8469373333696529,0.6328166540087526,-0.9605294284463736
MERCEDES,Petrol,3982.0,603.0,250.0,3.4,104000.0,850.0,5.0,11.552155793461898,6.7464121285733745,0.6203271660157637,1.3275858634354916,0.6328166540087526,-1.2633042255736284
MERCEDES,Petrol,1991.0,382.0,250.0,4.1,53000.0,500.0,5.0,10.87806606028079,6.2166061010848646,-0.4261586021402646,0.334844506944367,0.6328166540087526,-1.0513618675845502
MERCEDES,Petrol,3982.0,603.0,250.0,4.2,113000.0,850.0,5.0,11.635151947212842,6.7464121285733745,0.6203271660157637,1.3275858634354916,0.6328166540087526,-1.0210843878718245
MERCEDES,Petrol,2996.0,429.0,250.0,4.9,109000.0,700.0,5.0,11.599112335481124,6.55250788703459,0.10207755908364724,0.5459704967863709,0.6328166540087526,-0.8091420298827463
MERCEDES,Petrol,2996.0,362.0,250.0,5.2,62000.0,500.0,5.0,11.034905792929415,6.2166061010848646,0.10207755908364724,0.2450036602030888,0.6328166540087526,-0.7183095907445699
MERCEDES,Petrol,2996.0,362.0,250.0,5.2,70000.0,500.0,5.0,11.156264806643742,6.2166061010848646,0.10207755908364724,0.2450036602030888,0.6328166540087526,-0.7183095907445699
MERCEDES,Petrol,2996.0,429.0,250.0,4.5,99000.0,700.0,5.0,11.502885230075814,6.55250788703459,0.10207755908364724,0.5459704967863709,0.6328166540087526,-0.9302519487336482
MERCEDES,Petrol,2996.0,362.0,250.0,5.5,63000.0,500.0,5.0,11.050905878263567,6.2166061010848646,0.10207755908364724,0.2450036602030888,0.6328166540087526,-0.6274771516063935
MERCEDES,Petrol,1991.0,416.0,250.0,3.9,53000.0,500.0,5.0,10.87806606028079,6.2166061010848646,-0.4261586021402646,0.48757394640454005,0.6328166540087526,-1.111916827010001
MERCEDES,Petrol,2996.0,402.0,250.0,4.7,52000.0,520.0,5.0,10.859018228147887,6.255750041753367,0.10207755908364724,0.42468535368564525,0.6328166540087526,-0.8696969893081973
MERCEDES,Petrol,1991.0,255.0,250.0,5.7,49000.0,500.0,5.0,10.799595985047786,6.2166061010848646,-0.4261586021402646,-0.23564486986274974,0.6328166540087526,-0.5669221921809425
MERCEDES,Petrol,1991.0,255.0,250.0,6.1,53000.0,500.0,5.0,10.87806606028079,6.2166061010848646,-0.4261586021402646,-0.23564486986274974,0.6328166540087526,-0.44581227333004075
MERCEDES,Petrol,2996.0,402.0,250.0,4.7,54000.0,520.0,5.0,10.896757843893464,6.255750041753367,0.10207755908364724,0.42468535368564525,0.6328166540087526,-0.8696969893081973
